"Kod";"Nazwa";"rok;2021;[%]";
3208000;"Powiat kołobrzeski";61,11;
3209000;"Powiat koszaliński";24,30;
3210000;"Powiat myśliborski";58,52;
3211000;"Powiat policki";39,87;
3212000;"Powiat pyrzycki";41,90;
3213000;"Powiat sławieński";46,41;
3214000;"Powiat stargardzki";63,23;
3215000;"Powiat szczecinecki";65,74;
3216000;"Powiat świdwiński";50,35;
3217000;"Powiat wałecki";60,95;
3218000;"Powiat łobeski";52,67;
3261000;"Powiat m.Koszalin";100,00;
3262000;"Powiat m.Szczecin";100,00;
3263000;"Powiat m.Świnoujście";100,00;
