"","wojewodztwo_nazwa","powiat_nazwa","gmina_nazwa","zaszczepieni_pelna_dawka","przyrost_zaszczepionych_od_2021_08_01","liczba_ludnosci","zaszczepieni_pacjenci_jedna_dawka","zaszczepieni_pelna_dawka","grupa_wiekowa_12_19","grupa_wiekowa_20_39","grupa_wiekowa_40_59","grupa_wiekowa_60_69","grupa_wiekowa_70_plus"
"188","kujawsko-pomorskie","brodnicki","Zbiczno (w)","2877","13.81","4873","2924","2877","233","717","913","563","563"
"189","kujawsko-pomorskie","bydgoski","Białe Błota (w)","14673","12.04","23206","14948","14673","1387","3779","5725","1970","1970"
"190","kujawsko-pomorskie","bydgoski","Dąbrowa Chełmińska (w)","4797","15.31","8415","4898","4797","425","1223","1679","802","802"
"191","kujawsko-pomorskie","bydgoski","Dobrcz (w)","7067","12.67","11958","7183","7067","613","1748","2486","1139","1139"
"192","kujawsko-pomorskie","bydgoski","Koronowo (m-w)","14619","14.38","24109","14946","14619","1171","3655","4793","2571","2571"
"193","kujawsko-pomorskie","bydgoski","Nowa Wieś Wielka (w)","5988","13.02","10309","6114","5988","445","1467","2214","956","956"
"194","kujawsko-pomorskie","bydgoski","Osielsko (w)","10110","10.02","15347","10281","10110","913","2643","3872","1459","1459"
"195","kujawsko-pomorskie","bydgoski","Sicienko (w)","5941","12.77","10311","6080","5941","484","1578","2100","944","944"
"196","kujawsko-pomorskie","bydgoski","Solec Kujawski (m-w)","10763","12.46","16777","10945","10763","888","2646","3505","1673","1673"
"197","kujawsko-pomorskie","Bydgoszcz","Bydgoszcz (m)","224402","11.69","344091","228780","224402","14003","54841","67010","37841","37841"
"198","kujawsko-pomorskie","chełmiński","Chełmno (m)","11877","12.44","19205","12122","11877","920","2674","3644","2195","2195"
"199","kujawsko-pomorskie","chełmiński","Chełmno (w)","3005","12.36","6157","3087","3005","248","885","1008","485","485"
"200","kujawsko-pomorskie","chełmiński","Kijewo Królewskie (w)","2779","14.18","4521","2813","2779","239","779","878","475","475"
"201","kujawsko-pomorskie","chełmiński","Lisewo (w)","2939","15.04","5181","3014","2939","226","726","978","553","553"
"202","kujawsko-pomorskie","chełmiński","Papowo Biskupie (w)","2327","14.95","4300","2369","2327","176","605","738","416","416"
"203","kujawsko-pomorskie","chełmiński","Stolno (w)","2874","12.65","5304","2922","2874","203","774","920","527","527"
"204","kujawsko-pomorskie","chełmiński","Unisław (w)","4127","15.65","6989","4228","4127","331","1078","1312","751","751"
"205","kujawsko-pomorskie","golubsko-dobrzyński","Ciechocin (w)","2373","15.04","4003","2434","2373","180","660","772","398","398"
"206","kujawsko-pomorskie","golubsko-dobrzyński","Golub-Dobrzyń (m)","7410","12.24","12412","7552","7410","497","1902","2297","1399","1399"
"207","kujawsko-pomorskie","golubsko-dobrzyński","Golub-Dobrzyń (w)","4764","13.51","8841","4855","4764","349","1285","1591","823","823"
"208","kujawsko-pomorskie","golubsko-dobrzyński","Kowalewo Pomorskie (m-w)","6455","14.45","11416","6545","6455","472","1628","2069","1166","1166"
"209","kujawsko-pomorskie","golubsko-dobrzyński","Radomin (w)","2096","12.79","3801","2148","2096","115","579","663","410","410"
"210","kujawsko-pomorskie","golubsko-dobrzyński","Zbójno (w)","2351","14.88","4382","2423","2351","174","662","743","388","388"
"211","kujawsko-pomorskie","Grudziądz","Grudziądz (m)","56924","12.96","93564","58201","56924","3974","12838","17303","11057","11057"
"212","kujawsko-pomorskie","grudziądzki","Grudziądz (w)","6987","13.02","13136","7135","6987","580","1757","2537","1172","1172"
"213","kujawsko-pomorskie","grudziądzki","Gruta (w)","3681","16.55","6437","3766","3681","306","913","1200","676","676"
"214","kujawsko-pomorskie","grudziądzki","Łasin (m-w)","4408","14.3","7778","4484","4408","331","1097","1432","810","810"
"215","kujawsko-pomorskie","grudziądzki","Radzyń Chełmiński (m-w)","2650","19.7","4608","2702","2650","213","705","865","448","448"
"216","kujawsko-pomorskie","grudziądzki","Rogóźno (w)","2137","13.83","4195","2188","2137","183","583","684","348","348"
"217","kujawsko-pomorskie","grudziądzki","Świecie nad Osą (w)","2403","17.44","4151","2455","2403","196","701","748","443","443"
"218","kujawsko-pomorskie","inowrocławski","Dąbrowa Biskupia (w)","3035","12.05","5094","3095","3035","245","780","986","542","542"
"219","kujawsko-pomorskie","inowrocławski","Gniewkowo (m-w)","8278","14.29","14315","8417","8278","586","1928","2716","1489","1489"
"220","kujawsko-pomorskie","inowrocławski","Inowrocław (m)","45628","11.6","71674","46465","45628","2848","10123","14357","9006","9006"
"221","kujawsko-pomorskie","inowrocławski","Inowrocław (w)","6936","13.02","11845","7069","6936","525","1729","2461","1177","1177"
"222","kujawsko-pomorskie","inowrocławski","Janikowo (m-w)","7758","13.52","12961","7883","7758","525","1817","2564","1490","1490"
