wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
mazowieckie;wo³omiñski;337292;176;117164;17;t1434;142305;11;1107;2;76716;146
mazowieckie;wyszkowski;92891;5;35270;0;t1435;38566;2;438;0;18617;3
mazowieckie;zwoleñski;38586;6;15478;0;t1436;16822;0;211;0;6075;6
mazowieckie;¿uromiñski;42254;0;16573;0;t1437;16889;0;363;0;8429;0
mazowieckie;¿yrardowski;88547;0;31645;0;t1438;36275;0;434;0;20193;0
mazowieckie;Ostro³êka;99717;30;38251;3;t1461;42767;4;320;0;18379;23
mazowieckie;P³ock;194480;56;68357;8;t1462;80124;5;453;0;45546;43
mazowieckie;Radom;330073;46;121618;2;t1463;141829;7;1817;0;64809;37
mazowieckie;Siedlce;159733;2;62481;0;t1464;71746;0;367;0;25139;2
mazowieckie;Warszawa;3905333;1476;1375081;127;t1465;1582353;158;19081;10;928818;1181
opolskie;brzeski;100899;22;37730;0;t1601;43323;2;1008;0;18838;20
opolskie;g³ubczycki;58862;0;21604;0;t1602;25188;0;97;0;11973;0
opolskie;kêdzierzyñsko-kozielski;114454;35;42594;17;t1603;47913;0;405;0;23542;18
opolskie;kluczborski;83407;2;30296;0;t1604;34034;0;432;0;18645;2
opolskie;krapkowicki;140900;8;51072;1;t1605;60546;1;455;0;28827;6
opolskie;namys³owski;44336;28;15935;10;t1606;17782;0;61;0;10558;18
opolskie;nyski;132522;12;50046;0;t1607;54878;1;711;0;26887;11
opolskie;oleski;70366;31;26552;6;t1608;29318;2;144;0;14352;23
opolskie;opolski;102194;8;36346;0;t1609;41973;3;651;0;23224;5
opolskie;prudnicki;58888;1;21675;0;t1610;25071;1;139;0;12003;0
opolskie;strzelecki;87566;25;31098;3;t1611;36449;4;319;0;19700;18
opolskie;Opole;270479;118;99745;15;t1661;113569;11;610;0;56555;92
podkarpackie;bieszczadzki;15677;0;5786;0;t1801;6260;0;29;0;3602;0
podkarpackie;brzozowski;61107;2;23938;2;t1802;27127;0;252;0;9790;0
podkarpackie;dêbicki;89796;13;32278;2;t1803;41843;1;142;0;15533;10
podkarpackie;jaros³awski;94332;12;32630;3;t1804;39645;2;151;0;21906;7
podkarpackie;jasielski;92264;47;31662;13;t1805;40405;8;236;0;19961;26
podkarpackie;kolbuszowski;30985;0;11889;0;t1806;13801;0;157;0;5138;0
podkarpackie;kroœnieñski;69532;4;26697;0;t1807;28350;0;299;0;14186;4
podkarpackie;le¿ajski;60224;5;21918;3;t1808;26455;0;138;0;11713;2
podkarpackie;lubaczowski;51416;0;18600;0;t1809;21688;0;43;0;11085;0
podkarpackie;³añcucki;60922;0;23188;0;t1810;24835;0;85;0;12814;0
podkarpackie;mielecki;118982;28;46749;6;t1811;51434;4;532;0;20267;18
podkarpackie;ni¿añski;47047;18;18274;1;t1812;19612;4;1002;0;8159;13
podkarpackie;przemyski;28232;0;10997;0;t1813;11397;0;139;0;5699;0
podkarpackie;przeworski;45119;11;16861;3;t1814;18429;0;137;0;9692;8
podkarpackie;ropczycko-sêdziszowski;54757;6;20502;2;t1815;24612;0;224;0;9419;4
podkarpackie;rzeszowski;79598;12;29478;0;t1816;33567;3;946;0;15607;9
podkarpackie;sanocki;59861;6;20673;0;t1817;24354;0;191;0;14643;6
podkarpackie;stalowowolski;104388;21;39519;2;t1818;44741;3;872;0;19256;16
podkarpackie;strzy¿owski;40043;10;15447;1;t1819;16236;1;25;0;8335;8
podkarpackie;tarnobrzeski;25573;4;8712;0;t1820;10784;0;127;0;5950;4
podkarpackie;leski;20029;12;7613;0;t1821;8450;0;33;0;3933;12
podkarpackie;Krosno;66890;7;24202;2;t1861;27128;3;169;0;15391;2
podkarpackie;Przemyœl;75844;31;25564;4;t1862;31403;3;169;0;18708;24
podkarpackie;Rzeszów;737802;56;288697;4;t1863;339806;2;1837;0;107462;50
podkarpackie;Tarnobrzeg;87757;7;32735;0;t1864;37299;0;505;0;17218;7
podlaskie;augustowski;62748;4;23175;0;t2001;26926;0;664;0;11983;4
podlaskie;bia³ostocki;98741;14;35700;3;t2002;39050;0;392;0;23599;11
podlaskie;bielski;54418;1;20228;0;t2003;22644;0;59;0;11487;1
podlaskie;grajewski;41794;7;16070;0;t2004;17745;4;298;0;7681;3
podlaskie;hajnowski;43799;0;15855;0;t2005;17963;0;116;0;9865;0
podlaskie;kolneñski;32012;13;12255;2;t2006;14023;0;438;0;5296;11
podlaskie;³om¿yñski;21483;19;8679;7;t2007;9425;6;93;0;3286;6
podlaskie;moniecki;35151;0;13152;0;t2008;14428;0;114;0;7457;0
podlaskie;sejneñski;18107;0;6701;0;t2009;7335;0;414;0;3657;0
podlaskie;siemiatycki;43316;0;17073;0;t2010;18221;0;102;0;7920;0
podlaskie;sokólski;64861;10;24363;1;t2011;25853;1;557;0;14088;8
podlaskie;suwalski;13007;0;4829;0;t2012;5202;0;10;0;2966;0
podlaskie;wysokomazowiecki;67632;0;26290;0;t2013;28585;0;494;0;12263;0
podlaskie;zambrowski;42488;4;15228;0;t2014;18343;4;143;0;8774;0
podlaskie;Bia³ystok;684802;111;256073;3;t2061;304533;12;1615;0;122581;96
podlaskie;£om¿a;99929;14;37974;0;t2062;41901;1;340;0;19714;13
podlaskie;Suwa³ki;92019;31;31307;5;t2063;38935;5;251;3;21526;18
pomorskie;bytowski;97796;0;36414;0;t2201;41444;0;229;0;19709;0
pomorskie;chojnicki;132682;36;47573;9;t2202;55098;5;347;0;29664;22
pomorskie;cz³uchowski;60736;0;21057;0;t2203;25826;0;164;0;13689;0
pomorskie;gdañski;106788;44;35339;4;t2204;38821;1;630;0;31998;39
pomorskie;kartuski;141110;22;52654;1;t2205;59291;2;264;0;28901;19
pomorskie;koœcierski;93777;14;34806;0;t2206;38815;0;795;0;19361;14
pomorskie;kwidzyñski;98932;6;36001;0;t2207;40890;1;433;0;21608;5
pomorskie;lêborski;88963;21;31794;1;t2208;36826;1;242;0;20101;19
pomorskie;malborski;66166;1;23516;0;t2209;25705;0;241;0;16704;1
pomorskie;nowodworski;48521;0;17880;0;t2210;20407;0;104;0;10130;0
pomorskie;pucki;89278;31;32223;12;t2211;36261;6;777;0;20017;13
pomorskie;s³upski;71794;2;25410;0;t2212;28634;0;945;0;16805;2
pomorskie;starogardzki;153685;52;55927;13;t2213;63965;3;737;0;33056;36
pomorskie;tczewski;136292;31;45939;3;t2214;54717;2;493;0;35143;26
pomorskie;wejherowski;252579;26;89235;1;t2215;103421;0;1093;0;58830;25
pomorskie;sztumski;61461;3;22401;0;t2216;26471;0;70;0;12519;3
pomorskie;Gdañsk;1159509;308;433267;22;t2261;491621;21;4624;0;229997;265
pomorskie;Gdynia;442657;108;148077;3;t2262;181312;8;2103;2;111165;95
pomorskie;S³upsk;176435;64;63373;17;t2263;71758;16;501;7;40803;24
pomorskie;Sopot;123929;21;47399;3;t2264;51047;3;210;0;25273;15
œl¹skie;bêdziñski;170754;41;59653;0;t2401;68044;1;641;0;42416;40
œl¹skie;bielski;164096;53;56179;10;t2402;68218;3;464;0;39235;40
œl¹skie;cieszyñski;228456;54;83965;9;t2403;96320;8;637;0;47534;37
œl¹skie;czêstochowski;131502;8;48532;2;t2404;53701;1;536;0;28733;5
œl¹skie;gliwicki;210835;45;70050;2;t2405;89378;5;235;0;51172;38
œl¹skie;k³obucki;84203;5;30780;0;t2406;35864;0;209;0;17350;5
œl¹skie;lubliniecki;81065;21;28866;1;t2407;34014;1;106;1;18079;18
œl¹skie;miko³owski;63386;28;22703;3;t2408;24831;1;294;0;15558;24
œl¹skie;myszkowski;81862;16;30217;4;t2409;33397;0;132;0;18116;12
œl¹skie;pszczyñski;103417;21;35696;3;t2410;40193;2;379;0;27149;16
œl¹skie;raciborski;127762;26;47124;3;t2411;53994;1;400;0;26244;22
œl¹skie;rybnicki;38926;46;14390;14;t2412;15225;3;40;0;9271;29
œl¹skie;tarnogórski;211853;31;79460;0;t2413;86306;3;510;1;45577;27
œl¹skie;bieruñsko-lêdziñski;58179;22;20978;6;t2414;23301;0;86;0;13814;16
œl¹skie;wodzis³awski;185531;28;66394;1;t2415;77173;0;254;0;41710;27
œl¹skie;zawierciañski;156640;18;54742;1;t2416;65326;0;622;1;35950;16
œl¹skie;¿ywiecki;153974;19;57251;0;t2417;62935;3;790;0;32998;16
œl¹skie;Bielsko-Bia³a;323601;54;117108;2;t2461;135714;1;1269;0;69510;51
œl¹skie;Bytom;213479;57;77443;3;t2462;89780;1;701;0;45555;53
œl¹skie;Chorzów;171255;40;61347;0;t2463;70729;1;506;0;38673;39
œl¹skie;Czêstochowa;405597;72;139941;5;t2464;163440;4;870;0;101346;63
œl¹skie;D¹browa Górnicza;146984;15;49654;2;t2465;56873;0;500;0;39957;13
œl¹skie;Gliwice;375469;69;142283;2;t2466;165525;5;804;2;66857;60
œl¹skie;Jastrzêbie-Zdrój;99248;45;32517;2;t2467;37952;1;702;0;28077;42
œl¹skie;Jaworzno;134735;51;48470;3;t2468;57253;2;711;0;28301;46
œl¹skie;Katowice;782589;267;298892;35;t2469;342462;19;2560;0;138675;213
œl¹skie;Mys³owice;77880;15;27567;0;t2470;30005;0;460;0;19848;15
œl¹skie;Piekary Œl¹skie;67092;25;21755;0;t2471;24585;1;283;0;20469;24
œl¹skie;Ruda Œl¹ska;250150;28;96829;2;t2472;104173;0;722;0;48426;26
œl¹skie;Rybnik;122861;51;38663;6;t2473;46246;8;279;0;37673;37
œl¹skie;Siemianowice Œl¹skie;125622;12;46698;0;t2474;51857;0;261;0;26806;12
œl¹skie;Sosnowiec;331240;68;114948;8;t2475;136215;7;592;0;79485;53
œl¹skie;Œwiêtoch³owice;58137;38;22018;4;t2476;24379;2;255;6;11485;26
œl¹skie;Tychy;172607;17;62258;1;t2477;66826;2;955;0;42568;14
œl¹skie;Zabrze;203811;74;71210;10;t2478;87151;3;966;0;44484;61
œl¹skie;¯ory;89513;22;33764;2;t2479;38327;1;789;0;16633;19
œwiêtokrzyskie;buski;80315;9;28684;1;t2601;33793;2;714;0;17124;6
œwiêtokrzyskie;jêdrzejowski;111439;0;41620;0;t2602;45990;0;400;0;23429;0
œwiêtokrzyskie;kazimierski;37909;2;13855;2;t2603;16127;0;223;0;7704;0
œwiêtokrzyskie;kielecki;175134;12;63708;0;t2604;74637;0;391;0;36398;12
œwiêtokrzyskie;konecki;88810;0;31742;0;t2605;36761;0;277;0;20030;0
œwiêtokrzyskie;opatowski;51634;6;19493;1;t2606;21759;0;515;0;9867;5
œwiêtokrzyskie;ostrowiecki;135569;7;48513;1;t2607;55671;3;316;0;31069;3
œwiêtokrzyskie;piñczowski;50865;0;17444;0;t2608;23727;0;43;0;9651;0
œwiêtokrzyskie;sandomierski;107385;19;40817;8;t2609;46568;2;875;0;19125;9
œwiêtokrzyskie;skar¿yski;81255;3;28488;2;t2610;31881;0;226;0;20660;1
œwiêtokrzyskie;starachowicki;95543;0;34225;0;t2611;38700;0;704;0;21914;0
œwiêtokrzyskie;staszowski;56657;5;20505;0;t2612;23076;0;355;0;12721;5
œwiêtokrzyskie;w³oszczowski;64346;13;24348;0;t2613;28327;0;68;0;11603;13
œwiêtokrzyskie;Kielce;399943;102;147971;5;t2661;173202;31;1137;1;77633;65
warmiñsko-mazurskie;bartoszycki;79523;7;29422;0;t2801;33609;0;204;1;16288;6
warmiñsko-mazurskie;braniewski;45719;0;17161;0;t2802;18387;0;57;0;10114;0
warmiñsko-mazurskie;dzia³dowski;78862;26;29210;2;t2803;31645;3;129;0;17878;21
warmiñsko-mazurskie;elbl¹ski;55443;0;21338;0;t2804;22285;0;493;0;11327;0
warmiñsko-mazurskie;e³cki;122042;1;41600;0;t2805;54871;0;833;0;24738;1
warmiñsko-mazurskie;gi¿ycki;79700;21;28816;1;t2806;33690;1;883;0;16311;19
warmiñsko-mazurskie;i³awski;107916;10;38072;0;t2807;44104;0;597;0;25143;10
