wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
opolskie;kêdzierzyñsko-kozielski;2;0;2;0.21;0;0.21;0;0;0;1;0;0;18;2;16;0;t1603;2022-05-12
opolskie;kluczborski;0;0;0;0;0;0;0;0;0;0;0;0;15;0;15;0;t1604;2022-05-12
opolskie;krapkowicki;2;0;2;0.31;0;0.31;0;0;0;0;0;0;10;2;8;0;t1605;2022-05-12
opolskie;namys³owski;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;t1606;2022-05-12
opolskie;nyski;1;0;1;0.07;0;0.07;0;0;0;1;0;0;23;2;21;0;t1607;2022-05-12
opolskie;oleski;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t1608;2022-05-12
opolskie;opolski;0;0;0;0;0;0;1;0;1;1;0;0;29;0;29;0;t1609;2022-05-12
opolskie;prudnicki;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t1610;2022-05-12
opolskie;strzelecki;0;1;1;0;0.13;0.13;0;0;0;7;0;0;31;1;30;0;t1611;2022-05-12
opolskie;Opole;4;1;5;0.31;0.08;0.39;1;0;1;1;0;0;51;6;45;0;t1661;2022-05-12
podkarpackie;bieszczadzki;0;0;0;0;0;0;0;0;0;1;0;0;4;0;4;0;t1801;2022-05-12
podkarpackie;brzozowski;1;0;1;0.15;0;0.15;0;0;0;0;0;0;6;1;5;0;t1802;2022-05-12
podkarpackie;dêbicki;1;0;1;0.07;0;0.07;0;0;0;1;2;0;23;4;19;0;t1803;2022-05-12
podkarpackie;jaros³awski;1;0;1;0.08;0;0.08;0;0;0;0;0;0;79;1;78;0;t1804;2022-05-12
podkarpackie;jasielski;3;0;3;0.26;0;0.26;0;0;0;1;4;0;14;3;11;0;t1805;2022-05-12
podkarpackie;kolbuszowski;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;0;t1806;2022-05-12
podkarpackie;kroœnieñski;0;0;0;0;0;0;0;0;0;2;0;0;21;0;19;2;t1807;2022-05-12
podkarpackie;le¿ajski;0;0;0;0;0;0;0;0;0;2;0;0;34;0;34;0;t1808;2022-05-12
podkarpackie;lubaczowski;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t1809;2022-05-12
podkarpackie;³añcucki;0;1;1;0;0.12;0.12;1;0;1;0;0;0;21;1;20;0;t1810;2022-05-12
podkarpackie;mielecki;2;0;2;0.15;0;0.15;0;0;0;1;0;0;48;2;46;0;t1811;2022-05-12
podkarpackie;ni¿añski;1;0;1;0.15;0;0.15;0;0;0;0;0;0;32;3;29;0;t1812;2022-05-12
podkarpackie;przemyski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t1813;2022-05-12
podkarpackie;przeworski;0;0;0;0;0;0;0;0;0;0;0;0;118;0;118;0;t1814;2022-05-12
podkarpackie;ropczycko-sêdziszowski;1;1;2;0.13;0.13;0.27;0;0;0;1;0;0;11;2;9;0;t1815;2022-05-12
podkarpackie;rzeszowski;0;0;0;0;0;0;0;0;0;0;0;0;28;0;28;0;t1816;2022-05-12
podkarpackie;sanocki;0;0;0;0;0;0;0;0;0;2;4;0;8;0;8;0;t1817;2022-05-12
podkarpackie;stalowowolski;1;0;1;0.09;0;0.09;0;0;0;1;0;0;29;1;28;0;t1818;2022-05-12
podkarpackie;strzy¿owski;1;0;1;0.16;0;0.16;0;0;0;2;0;0;6;1;5;0;t1819;2022-05-12
podkarpackie;tarnobrzeski;1;0;1;0.19;0;0.19;0;0;0;0;1;0;16;1;15;0;t1820;2022-05-12
podkarpackie;leski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t1821;2022-05-12
podkarpackie;Krosno;2;0;2;0.43;0;0.43;0;0;0;0;0;0;6;2;4;0;t1861;2022-05-12
podkarpackie;Przemyœl;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t1862;2022-05-12
podkarpackie;Rzeszów;5;1;6;0.25;0.05;0.30;0;0;0;5;0;0;55;8;47;0;t1863;2022-05-12
podkarpackie;Tarnobrzeg;1;0;1;0.21;0;0.21;0;0;0;0;0;0;9;2;7;0;t1864;2022-05-12
podlaskie;augustowski;0;0;0;0;0;0;0;0;0;0;0;0;26;3;23;0;t2001;2022-05-12
podlaskie;bia³ostocki;0;0;0;0;0;0;0;0;0;5;0;0;37;0;37;0;t2002;2022-05-12
podlaskie;bielski;1;1;2;0.18;0.18;0.37;0;0;0;2;0;0;13;2;11;0;t2003;2022-05-12
podlaskie;grajewski;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;t2004;2022-05-12
podlaskie;hajnowski;0;0;0;0;0;0;0;0;0;1;1;0;6;0;6;0;t2005;2022-05-12
podlaskie;kolneñski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t2006;2022-05-12
podlaskie;³om¿yñski;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t2007;2022-05-12
podlaskie;moniecki;1;0;1;0.25;0;0.25;0;0;0;0;0;0;24;2;22;0;t2008;2022-05-12
podlaskie;sejneñski;3;0;3;1.51;0;1.51;0;0;0;0;0;0;9;3;6;0;t2009;2022-05-12
podlaskie;siemiatycki;0;0;0;0;0;0;0;0;0;0;0;0;7;0;6;1;t2010;2022-05-12
podlaskie;sokólski;0;0;0;0;0;0;0;0;0;1;0;0;8;0;8;0;t2011;2022-05-12
podlaskie;suwalski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t2012;2022-05-12
podlaskie;wysokomazowiecki;1;0;1;0.18;0;0.18;0;0;0;0;0;0;13;1;12;0;t2013;2022-05-12
podlaskie;zambrowski;0;0;0;0;0;0;0;0;0;1;0;0;7;0;7;0;t2014;2022-05-12
